OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
A-2,24.1773,0.0935,849.6404,29.1486,0.1127,0.9205
B-1,25.8266,0.1136,1022.5183,31.9768,0.1407,0.9461
B-2,69.5057,0.3223,7182.3972,84.749,0.393,0.6606
B-4,30.3471,0.1329,1336.7602,36.5617,0.16,0.9081
B-5,69.2574,0.3169,7342.9942,85.6913,0.3919,0.5776
B-7,79.9282,0.3511,9915.2923,99.5756,0.4374,0.3295
B-8,57.2617,0.2706,5152.3975,71.7802,0.3397,0.6976
C-1,68.5557,0.3811,6900.1869,83.0674,0.4622,0.9225
C-2,99.3668,0.5498,15012.2303,122.5244,0.677,0.8813
C-3,224.6922,1.2049,72371.8372,269.0201,1.4436,0.4374
C-4,71.8418,0.3879,8844.4243,94.0448,0.5109,0.9199
C-5,83.6413,0.4231,11124.4129,105.4723,0.5346,0.8743
C-6,105.5577,0.5494,15737.8245,125.4505,0.6514,0.8166
C-7,110.5274,0.5931,18132.8835,134.6584,0.7218,0.8333
C-8,191.6543,1.0159,52833.1629,229.8547,1.2186,0.6148
C-9,59.7266,0.3215,5003.8111,70.7376,0.38,0.9589
C-10,71.9197,0.3688,7524.7952,86.7456,0.4441,0.9214
C-11,129.893,0.7038,24223.209,155.6381,0.8437,0.7088
C-12,144.7214,0.8153,31703.6953,178.0553,1.0038,0.6844
C-13,178.9928,0.995,48244.1055,219.6454,1.2221,0.5567
C-14,102.3156,0.5736,16614.8835,128.8987,0.7253,0.8382
C-15,127.243,0.6827,29399.2043,171.462,0.9234,0.6018
